,year,country,donated_amount,received_amount
0,1962,KW,301276416,
1,1963,KW,135326465,
2,1964,KW,351964299,
3,1965,KW,33924664,
4,1966,KW,244624855,
5,1967,KW,243117886,
6,1968,KW,89669161,
7,1970,KW,18096820,
8,1971,KW,210816882,
9,1972,AE,65370264,
10,1972,KW,279477208,
11,1973,AE,72042060,65097.0
12,1973,AU,271574791,
13,1973,BE,216826234,
14,1973,CA,2682412046,
15,1973,CH,145084507,
16,1973,DE,3224237396,
17,1973,DK,201860911,
18,1973,FR,3009352993,
19,1973,GB,2340726471,
20,1973,IT,856594003,
21,1973,JP,5202424568,
22,1973,KW,291863161,325483.0
23,1973,NL,849453186,
24,1973,NO,388311513,
25,1973,SE,858648085,
26,1973,US,6172099634,
27,1974,AE,870113600,
28,1974,AT,332741355,
29,1974,AU,1874101070,
30,1974,BE,282628934,
31,1974,CA,1469275502,
32,1974,CH,340742672,
33,1974,DE,5251256498,
34,1974,DK,326584513,
35,1974,FI,83627591,
36,1974,FR,2928538521,
37,1974,GB,3064206080,
38,1974,IT,58185968,
39,1974,JP,7602326224,
40,1974,KW,654879641,
41,1974,NL,1329624659,
42,1974,NO,419401169,
43,1974,NZ,10633721,
44,1974,SE,1477156784,
45,1974,US,5127520654,
46,1975,AE,369532938,
47,1975,AU,938361464,
48,1975,BE,230631139,
49,1975,CA,1846036446,
50,1975,CH,351796822,
51,1975,DE,3936531409,
52,1975,DK,273819163,
53,1975,FI,84313463,78448437.0
54,1975,FR,1595728253,
55,1975,GB,672858182,
56,1975,IT,162265198,
57,1975,JP,5515962073,
58,1975,KW,1313025223,
59,1975,NL,1147908414,
60,1975,NO,539797730,
61,1975,SA,1682266525,
62,1975,SE,1227782450,
63,1975,US,6072191069,
64,1976,AE,1037838342,
65,1976,AT,28276320,
66,1976,AU,1256964586,
67,1976,BE,220485663,
68,1976,CA,1363897102,
69,1976,CH,425283047,
70,1976,DE,3755609696,
71,1976,DK,314016257,
72,1976,FI,60651584,
73,1976,FR,2031031494,
74,1976,GB,1619574201,
75,1976,IT,109476211,
76,1976,JP,3741886057,
77,1976,KW,1217964394,
78,1976,NL,1806485054,
79,1976,NO,379733721,
80,1976,NZ,13037708,
81,1976,SA,1086627007,
82,1976,SE,932959677,
83,1976,US,8713084051,
84,1977,AE,1124048717,3599299.0
85,1977,AT,127827525,
86,1977,AU,1752080225,
87,1977,BE,231472647,
88,1977,CA,1787655027,
89,1977,CH,584347304,
90,1977,DE,3442705623,
91,1977,DK,420131682,
92,1977,FI,17010712,
93,1977,FR,2728799543,
94,1977,GB,1906074354,
95,1977,IT,62008979,
96,1977,JP,6628152735,
97,1977,KW,1435803071,243037.0
98,1977,NL,1859649052,
99,1977,NO,368031919,
100,1977,SA,4051837520,
101,1977,SE,1263361929,
102,1977,US,5856247965,
103,1978,AE,816640859,45992130.0
104,1978,AT,107440202,
105,1978,AU,1604273672,
106,1978,BE,183435619,
107,1978,CA,3280423787,
108,1978,CH,520484822,
109,1978,DE,4098411411,
110,1978,DK,514268771,
111,1978,FI,7876601,
112,1978,FR,1413215469,
113,1978,GB,6432252741,
114,1978,JP,5562965651,
115,1978,KW,611268839,
116,1978,NL,1880993915,
117,1978,NO,546925835,
118,1978,SA,2714709936,622892.0
119,1978,SE,1210845653,
120,1978,US,5958256847,
121,1979,AE,310233030,
122,1979,AT,54414482,
123,1979,AU,1523845009,
124,1979,BE,231216736,
125,1979,CA,1434872788,
126,1979,CH,524277540,
127,1979,DE,6694648965,
128,1979,DK,537921074,
129,1979,FI,152154369,
130,1979,FR,1617515983,
131,1979,GB,1907376627,
132,1979,JP,6498490713,
133,1979,KW,977372885,
134,1979,NL,1552024628,
135,1979,NO,670450649,
136,1979,SA,1304785946,12014220.0
137,1979,SE,1402221892,
138,1979,US,5572149648,
139,1980,AE,771697755,174742.0
140,1980,AT,237042672,157632201.0
141,1980,AU,1418545690,54502260.0
142,1980,BE,276441904,147868500.0
143,1980,CA,771799547,531674896.0
144,1980,CH,274090069,
145,1980,DE,7387659264,
146,1980,DK,572189877,104288895.0
147,1980,FI,22477217,
148,1980,FR,2878156747,116609845.0
149,1980,GB,2035932501,399202551.0
150,1980,IT,85412178,894504816.0
151,1980,JP,8777821974,264768921.0
152,1980,KW,660798368,
153,1980,NL,1957787122,
154,1980,NO,523951798,43725131.0
155,1980,SA,1065240241,120375527.0
156,1980,SE,821822125,35282669.0
157,1980,US,21051610053,
158,1981,AE,196978111,1813286.0
159,1981,AT,621987884,163916.0
160,1981,AU,1352548433,747648005.0
161,1981,BE,310715288,36477733.0
162,1981,CA,2080775056,2540405789.0
163,1981,CH,839837225,
164,1981,DE,6160732302,
165,1981,DK,551695202,
166,1981,FI,129838037,
167,1981,FR,2954241214,120922782.0
168,1981,GB,950246642,558141413.0
169,1981,IT,882812271,3585196.0
170,1981,JP,8264961068,446920760.0
171,1981,KW,1928005818,78425.0
172,1981,LI,994471,18264370.0
173,1981,NL,1500426693,
174,1981,NO,495924212,130936843.0
175,1981,NZ,83990159,
176,1981,SA,1270034942,409548081.0
177,1981,SE,1370424408,24474486.0
178,1981,US,22115310769,
179,1982,AE,408638598,936588.0
180,1982,AT,835970287,58590672.0
181,1982,AU,1197232123,2599450.0
182,1982,BE,299632155,
183,1982,CA,1134293304,170174807.0
184,1982,CH,541271311,
185,1982,DE,4650841286,
186,1982,DK,889981504,
187,1982,FI,70621508,
188,1982,FR,3156677230,
189,1982,GB,1730099972,
190,1982,IT,830860873,663971.0
191,1982,JP,9638208859,
192,1982,KW,2016947119,
193,1982,LI,760321,
194,1982,NL,1334163335,
195,1982,NO,643471615,63586018.0
196,1982,NZ,114061767,213884594.0
197,1982,SA,2154260886,197083911.0
198,1982,SE,1467788096,
199,1982,US,18706246268,264104.0
200,1983,AE,141770854,598545.0
201,1983,AT,420702232,
202,1983,AU,1357383174,
203,1983,BE,326528363,
204,1983,CA,1740352264,
205,1983,CH,833206301,
206,1983,DE,3681555632,
207,1983,DK,708564360,
208,1983,FI,89657119,70538468.0
209,1983,FR,2891207571,
210,1983,GB,1569983322,
211,1983,IT,1616875297,147595542.0
212,1983,JP,8208436464,
213,1983,KW,1081251350,
214,1983,LI,88595,
215,1983,NL,1814911179,
216,1983,NO,103452945,
217,1983,NZ,97650303,
218,1983,PT,42794173,1551146392.0
219,1983,SA,1159197442,206745775.0
220,1983,SE,1428776862,
221,1983,US,16197532238,2657078.0
222,1984,AE,356019945,14126384.0
223,1984,AT,140176337,
224,1984,AU,1175287535,
225,1984,BE,142978092,
226,1984,CA,3449267329,153022875.0
227,1984,CH,487260579,
228,1984,DE,5334023361,
229,1984,DK,885873041,62021691.0
230,1984,FI,105054340,26553629.0
231,1984,FR,4409772705,
232,1984,GB,1805691390,
233,1984,IT,1566208620,551936148.0
234,1984,JP,9453228061,166832089.0
235,1984,KW,783967762,
236,1984,LI,60286,
237,1984,NL,2160157363,
238,1984,NO,1162771268,
239,1984,NZ,2432074,
240,1984,PT,783774944,239040368.0
241,1984,SA,1069162682,59201063.0
242,1984,SE,1447750635,
243,1984,US,17157834424,
244,1985,AE,103226642,149745706.0
245,1985,AT,204076518,
246,1985,AU,1093483566,
247,1985,BE,135969411,
248,1985,CA,2221285996,
249,1985,CH,1026515863,
250,1985,DE,5368678584,
251,1985,DK,1055184829,
252,1985,FI,32897931,
253,1985,FR,3369261745,
254,1985,GB,1049349822,
255,1985,IT,1399517874,
256,1985,JP,9694421283,269876498.0
257,1985,KW,607283862,524410.0
258,1985,LI,149267,
259,1985,NL,1398462933,
260,1985,NO,1115723447,
261,1985,NZ,54990260,161827.0
262,1985,PT,124128554,246058028.0
263,1985,SA,1026653299,35529584.0
264,1985,SE,1356658828,
265,1985,US,18631712865,2697117.0
266,1986,AE,143728802,
267,1986,AT,159942523,
268,1986,AU,1034645967,1867754.0
269,1986,BE,144268936,
270,1986,CA,2883335325,
271,1986,CH,673684458,
272,1986,DE,4068175221,
273,1986,DK,1097551308,
274,1986,FI,46044923,83529726.0
275,1986,FR,3622570802,5558791.0
276,1986,GB,1531675553,
277,1986,IT,2372272480,
278,1986,JP,6565351774,130559708.0
279,1986,KW,706625998,
280,1986,LI,365971,
281,1986,NL,2092074031,
282,1986,NO,1615292326,
